id,Age,Height,Weight,Vegetable_consumption_frequency,Number_of_Meals,Water_Consumption,Exercise_Frequency,Screen_Time,Gender_Female,Line_of_Overweights_yes,FAVC_no,SMOKES_yes,SCC_yes,Alc_Consumption,Mode_of_Transport,Nibbling
20758,0.274465659574468,0.7514981132075476,0.6476752879677252,0.9693080000000001,3.0,0.9128145000000001,0.28513333333333335,0.0,0,1,0,0,0,2,3,2
20759,0.14893617021276595,0.28301886792452846,0.21418836227524496,0.5,1.0,1.0,0.3333333333333333,0.0,1,1,0,0,0,2,3,2
20760,0.25531914893617025,0.36482075471698083,0.5759330943461897,1.0,3.0,0.8109385,0.0,0.125251,1,1,0,0,0,2,3,2
20761,0.14849476595744682,0.19457924528301884,0.5130137794751051,0.5,2.977909,0.8932085000000001,0.031617,0.0,0,1,0,0,0,2,3,2
20762,0.25531914893617025,0.3347094339622645,0.5222653681320035,1.0,3.0,0.8267655,0.0,0.3705345,1,1,0,0,0,2,3,2
20763,0.12338412765957452,0.7448132075471698,0.16345767414650242,0.5,4.0,0.8610315,0.6666666666666666,0.6418365,0,1,0,0,0,3,0,2
20764,0.08510638297872342,0.526101886792453,0.09870349483773128,0.1010375,3.0,0.04358300000000004,0.26286166666666666,0.5,0,1,0,0,0,2,3,2
20765,0.12765957446808512,0.6792452830188682,0.32524899456611267,0.5,3.0,0.5,1.0,0.0,0,1,0,0,0,3,0,0
20766,0.14893617021276595,0.4716981132075473,0.32524899456611267,0.5,3.0,0.5,0.0,1.0,0,1,0,1,0,3,3,1
20767,0.14893617021276595,0.20754716981132093,0.11106063229086771,0.5,3.0,0.5,0.0,0.5,1,0,0,0,0,2,3,2
20768,0.08897491489361703,0.16154339622641523,0.02117566104022134,0.5309845,2.256119,0.16742800000000002,0.033745333333333336,0.839721,1,0,0,0,0,2,3,2
20769,0.14929074468085107,0.5090188679245284,0.7371808205681497,1.0,3.0,0.9128145000000001,0.523955,0.460081,1,1,0,0,0,2,3,2
20770,0.25531914893617025,0.3293584905660376,0.5781796446819738,1.0,3.0,0.808994,0.0,0.129236,1,1,0,0,0,2,3,2
20771,0.40530044680851063,0.4716981132075473,0.46776780480624247,0.5,1.281683,0.5,0.6624319999999999,0.961182,0,1,0,0,0,3,0,2
20772,0.25460646808510634,0.5392641509433962,0.523307846689904,1.0,3.0,0.24246900000000005,0.0,0.4830905,1,1,0,0,0,2,3,2
20773,0.37777419148936164,0.8001320754716978,0.4233659782047158,0.9082300000000001,3.989492,0.986213,0.32862399999999997,0.5059915,0,1,0,0,0,2,0,2
20774,0.10003757446808509,0.2904962264150943,0.32536031698417955,0.56195,1.0,0.5,0.25126066666666663,0.0,1,1,0,0,0,3,3,2
20775,0.25531914893617025,0.4716981132075473,0.4045780176310182,1.0,3.0,1.0,1.0,0.0,1,1,0,0,0,2,0,0
20776,0.25531914893617025,0.34433018867924536,0.5786786877002706,1.0,3.0,0.8853660000000001,0.0,0.0667615,1,1,0,0,0,2,3,2
20777,0.18651546808510638,0.6462886792452829,0.5290142451047389,0.5,3.0,0.645184,0.00036199999999999996,0.231598,0,1,0,0,0,2,3,2
20778,0.08510638297872342,0.5660377358490565,0.24591997150120715,0.5,3.0,0.5,1.0,1.0,0,0,0,0,0,3,4,2
20779,0.22334836170212768,0.45537735849056604,0.5987809873939122,1.0,3.0,0.7547675,0.11142133333333333,0.263388,1,1,0,0,0,2,3,2
20780,0.23645823404255317,0.36151132075471715,0.5201819182676407,1.0,3.0,0.07664300000000002,0.6631053333333333,0.2897705,1,1,0,0,0,2,3,2
20781,0.3829787234042553,0.5660377358490565,0.49977284530890476,1.0,1.0,0.0,0.3333333333333333,0.5,0,1,0,0,0,3,3,1
20782,0.14893617021276595,0.4716981132075473,0.2855844830336599,1.0,3.0,0.5,0.3333333333333333,0.5,0,1,0,0,0,2,3,1
20783,0.22015774468085103,0.43265283018867917,0.41884219306702575,0.24624999999999997,3.0,0.39564299999999997,0.05681733333333333,0.0,0,1,0,0,0,3,0,2
20784,0.23814702127659582,0.5903528301886793,0.5927029959692368,0.425631,3.0,0.5706355000000001,0.43476366666666666,0.0013,0,1,0,0,0,2,3,2
